"","plz","note","subregion_ID"
"56","54597","54597 Pronsfeld",102
"57","54687","54687 Arzfeld",102
"58","47625","47625 Kevelaer-Wetten",41
"59","47627","47627 Kevelaer-Kervenheim",41
"60","47626","47626 Kevelaer-Winnekendonk",41
"61","52152","52152 Simmerath",41
"62","41751","41751 Viersen",41
"63","52428","52428 JÃ¼lich",41
"64","47669","47669 Wachtendonk",41
"65","52393","52393 HÃ¼rtgenwald",41
"66","54597","54597 Pronsfeld",41
"67","41179","41179 MÃ¶nchengladbach",41
"68","47665","47665 Sonsbeck",41
"69","52379","52379 Langerwehe",41
"70","54649","54649 Waxweiler",102
"71","46459","46459 Rees",41
"72","47929","47929 Grefrath",41
"73","41169","41169 MÃ¶nchengladbach",41
"74","41749","41749 Viersen",41
"75","47647","47647 Kerken",41
"76","54595","54595 PrÃ¼m",102
"77","52459","52459 Inden",41
"78","53940","53940 Hellenthal",102
"79","53940","53940 Hellenthal",41
"80","54669","54669 Bollendorf",101
"81","54646","54646 Bettingen",101
"82","52445","52445 Titz",41
"83","53937","53937 Schleiden",41
"84","41189","41189 MÃ¶nchengladbach",41
"85","54636","54636 Rittersdorf u.a.",101
"86","54636","54636 Rittersdorf u.a.",102
"87","46509","46509 Xanten",41
"88","41069","41069 MÃ¶nchengladbach",41
"89","66706","66706 Perl",102
"90","66706","66706 Perl",103
"91","54439","54439 Saarburg",102
"92","54439","54439 Saarburg",103
"93","47906","47906 Kempen",41
"94","41747","41747 Viersen",41
"95","41748","41748 Viersen",41
"96","54668","54668 Ferschweiler",101
"97","41068","41068 MÃ¶nchengladbach",41
"98","52385","52385 Nideggen",41
"99","47661","47661 Issum",41
"100","52396","52396 Heimbach",41
"101","54457","54457 Wincheringen",102
"102","54611","54611 Hallschlag",102
"103","54611","54611 Hallschlag",41
"104","52353","52353 DÃ¼ren",41
"105","46419","46419 Isselburg",41
"106","47918","47918 TÃ¶nisvorst",41
"107","41063","41063 MÃ¶nchengladbach",41
"108","41239","41239 MÃ¶nchengladbach",41
"109","52355","52355 DÃ¼ren",41
"110","54614","54614 SchÃ¶necken",102
"111","47877","47877 Willich",41
"112","53949","53949 Dahlem",102
"113","53949","53949 Dahlem",41
"114","52382","52382 Niederzier",41
"115","46519","46519 Alpen",41
"116","41061","41061 MÃ¶nchengladbach",41
"117","47509","47509 Rheurdt",41
"118","52372","52372 Kreuzau",41
"119","41199","41199 MÃ¶nchengladbach",41
"120","54453","54453 Nittel",102
"121","54612","54612 Lasel",102
"122","54441","54441 Ayl, Trassem u.a.",102
"123","54441","54441 Ayl, Trassem u.a.",103
"124","41066","41066 MÃ¶nchengladbach",41
"125","52349","52349 DÃ¼ren",41
"126","41065","41065 MÃ¶nchengladbach",41
"127","54666","54666 Irrel",101
"128","41236","41236 MÃ¶nchengladbach",41
"129","41238","41238 MÃ¶nchengladbach",41
"130","41363","41363 JÃ¼chen",41
"131","54310","54310 Ralingen",101
"132","66693","66693 Mettlach",102
"133","66693","66693 Mettlach",103
"134","47475","47475 Kamp-Lintfort",41
"135","54634","54634 Bitburg",101
"136","50181","50181 Bedburg",41
"137","46487","46487 Wesel",41
"138","54456","54456 Tawern",102
"139","46399","46399 Bocholt",41
"140","54589","54589 Stadtkyll",102
"141","54589","54589 Stadtkyll",41
"142","54298","54298 Welschbillig, Igel, Aach",101
"143","47839","47839 Krefeld",41
"144","50189","50189 Elsdorf",41
"145","54331","54331 Pellingen",102
"146","41352","41352 Korschenbroich",41
"147","52351","52351 DÃ¼ren",41
"148","46499","46499 Hamminkeln",41
"149","47804","47804 Krefeld",41
"150","53925","53925 Kall",41
"151","54308","54308 Langsur",101
"152","54308","54308 Langsur",102
"153","47506","47506 Neukirchen-Vluyn",41
"154","52399","52399 Merzenich",41
"155","66663","66663 Merzig",103
"156","54332","54332 Wasserliesch",102
"157","54450","54450 Freudenburg",102
"158","54450","54450 Freudenburg",103
"159","46395","46395 Bocholt",41
"160","52391","52391 VettweiÃ",41
"161","47803","47803 Krefeld",41
"162","41517","41517 Grevenbroich",41
"163","54329","54329 Konz",101
"164","54329","54329 Konz",102
"165","52388","52388 NÃ¶rvenich",41
"166","54298","54298 Welschbillig, Igel, Aach",102
"167","54311","54311 Trierweiler",101
"168","47802","47802 Krefeld",41
"169","54655","54655 Kyllburg",101
"170","54655","54655 Kyllburg",102
"171","54610","54610 BÃ¼desheim",102
"172","54584","54584 JÃ¼nkerath",102
"173","54584","54584 JÃ¼nkerath",41
"174","47495","47495 Rheinberg",41
"175","53894","53894 Mechernich",41
"176","54587","54587 Lissendorf",102
"177","66780","66780 Rehlingen-Siersburg",103
"178","47807","47807 Krefeld",41
"179","54657","54657 Badem, Gindorf, Neidenbach",102
"180","54586","54586 SchÃ¼ller",102
"181","47805","47805 Krefeld",41
"182","41515","41515 Grevenbroich",41
"183","47798","47798 Krefeld",41
"184","54455","54455 Serrig",102
"185","54455","54455 Serrig",103
"186","54570","54570 Pelm, Neroth u.a.",102
"187","53947","53947 Nettersheim",102
"188","53947","53947 Nettersheim",41
"189","50170","50170 Kerpen",41
"190","54574","54574 Birresborn",102
"191","54294","54294 Trier",101
"192","54294","54294 Trier",102
"193","47447","47447 Moers",41
"194","41564","41564 Kaarst",41
"195","54568","54568 Gerolstein",102
"196","54309","54309 Newel",101
"197","50126","50126 Bergheim",41
"198","47799","47799 Krefeld",41
"199","53909","53909 ZÃ¼lpich",41
"200","47445","47445 Moers",41
"201","54451","54451 Irsch",102
"202","54459","54459 Wiltingen",102
"203","54585","54585 Esch",102
"204","54585","54585 Esch",41
"205","41516","41516 Grevenbroich",41
"206","47800","47800 Krefeld",41
"207","54657","54657 Badem, Gindorf, Neidenbach",101
"208","47441","47441 Moers",41
"209","54306","54306 Kordel",101
"210","53945","53945 Blankenheim",102
"211","53945","53945 Blankenheim",41
"212","40670","40670 Meerbusch",41
"213","46562","46562 Voerde (Niederrhein)",41
"214","47809","47809 Krefeld",41
"215","66798","66798 Wallerfangen",103
"216","54293","54293 Trier",101
"217","54578","54578 Walsdorf, Nohn u.a.",102
"218","46483","46483 Wesel",41
"219","54647","54647 Dudeldorf",101
"220","54664","54664 Preist",101
"221","46485","46485 Wesel",41
"222","50127","50127 Bergheim",41
"223","50171","50171 Kerpen",41
"224","47829","47829 Krefeld",41
"225","54296","54296 Trier",101
"226","54296","54296 Trier",102
"227","54662","54662 Speicher",101
"228","41472","41472 Neuss",41
"229","46397","46397 Bocholt",41
"230","54314","54314 Zerf",102
"231","54314","54314 Zerf",103
"232","40668","40668 Meerbusch",41
"233","47239","47239 Duisburg",41
"234","41569","41569 Rommerskirchen",41
"235","54290","54290 Trier",101
"236","54576","54576 Hillesheim",102
"237","47199","47199 Duisburg",41
"238","41464","41464 Neuss",41
"239","54292","54292 Trier",101
"240","66679","66679 Losheim",102
"241","66679","66679 Losheim",103
"242","41462","41462 Neuss",41
"243","50129","50129 Bergheim",41
"244","54295","54295 Trier",101
"245","47443","47443 Moers",41
"246","54313","54313 Zemmer",101
"247","54578","54578 Walsdorf, Nohn u.a.",41
"248","54533","54533 Bettenfeld, NiederÃ¶fflingen u.a.",101
"249","54533","54533 Bettenfeld, NiederÃ¶fflingen u.a.",102
"250","46414","46414 Rhede",41
"251","54316","54316 Pluwig",102
"252","40667","40667 Meerbusch",41
"253","47259","47259 Duisburg",41
"254","26757","26757 Borkum",31
"255","66802","66802 Ãberherrn",103
"256","47228","47228 Duisburg",41
"257","66701","66701 Beckingen",103
"258","54529","54529 Spangdahlem",101
"259","41466","41466 Neuss",41
"260","47229","47229 Duisburg",41
"261","47198","47198 Duisburg",41
"262","46569","46569 HÃ¼nxe",41
"263","41460","41460 Neuss",41
"264","66740","66740 Saarlouis",103
"265","47178","47178 Duisburg",41
"266","50374","50374 Erftstadt",41
"267","49847","49847 Itterbeck/Wielen",31
"268","47139","47139 Duisburg",41
"269","54518","54518 Niersbach, Sehlem, Plein u.a.",101
"270","41469","41469 Neuss",41
"271","50169","50169 Kerpen",41
"272","54318","54318 Mertesdorf",101
"273","46535","46535 Dinslaken",41
"274","48691","48691 Vreden",41
"275","40549","40549 DÃ¼sseldorf",41
"276","47179","47179 Duisburg",41
"277","66763","66763 Dillingen/Saar",103
"278","53902","53902 Bad MÃ¼nstereifel",102
"279","53902","53902 Bad MÃ¼nstereifel",41
"280","54338","54338 Schweich",101
"281","54317","54317 Osburg, Gusterath, Farschweiler, Kasel u.a.",102
"282","41542","41542 Dormagen",41
"283","47226","47226 Duisburg",41
"284","54531","54531 Manderscheid",101
"285","54531","54531 Manderscheid",102
"286","54579","54579 Ãxheim",102
"287","54579","54579 Ãxheim",41
"288","46514","46514 Schermbeck",41
"289","40474","40474 DÃ¼sseldorf",41
"290","54526","54526 Landscheid",101
"291","54344","54344 Kenn",101
"292","41468","41468 Neuss",41
"293","54429","54429 Schillingen",102
"294","54429","54429 Schillingen",103
"295","41470","41470 Neuss",41
"296","54317","54317 Osburg, Gusterath, Farschweiler, Kasel u.a.",101
"297","49824","49824 Ringe, Laar, Emlichheim",31
"298","53881","53881 Euskirchen",41
"299","50259","50259 Pulheim",41
"300","66333","66333 VÃ¶lklingen",103
"301","47059","47059 Duisburg",41
"302","46537","46537 Dinslaken",41
"303","47166","47166 Duisburg",41
"304","40489","40489 DÃ¼sseldorf",41
"305","54320","54320 Waldrach",101
"306","54320","54320 Waldrach",102
"307","40547","40547 DÃ¼sseldorf",41
"308","47119","47119 Duisburg",41
"309","66787","66787 Wadgassen",103
"310","50226","50226 Frechen",41
"311","47169","47169 Duisburg",41
"312","40221","40221 DÃ¼sseldorf",41
"313","47053","47053 Duisburg",41
"314","47249","47249 Duisburg",41
"315","54340","54340 Leiwen u.a.",101
"316","54340","54340 Leiwen u.a.",102
"317","46325","46325 Borken",41
"318","40545","40545 DÃ¼sseldorf",41
"319","54343","54343 FÃ¶hren",101
"320","47137","47137 Duisburg",41
"321","41540","41540 Dormagen",41
"322","47138","47138 Duisburg",41
"323","47055","47055 Duisburg",41
"324","53520","53520 Reifferscheid, Kaltenborn, Wershofen u.a.",102
"325","53520","53520 Reifferscheid, Kaltenborn, Wershofen u.a.",41
"326","46539","46539 Dinslaken",41
"327","54550","54550 Daun",102
"328","49843","49843 Uelsen, Halle, GÃ¶lenkamp, Getelo",31
"329","54523","54523 Hetzerath, Dierscheid, HeckenmÃ¼nster",101
"330","66809","66809 Nalbach",103
"331","40219","40219 DÃ¼sseldorf",41
"332","54534","54534 GroÃlittgen",101
"333","40468","40468 DÃ¼sseldorf",41
"334","47051","47051 Duisburg",41
"335","46354","46354 SÃ¼dlohn",41
"336","46348","46348 Raesfeld",41
"337","47269","47269 Duisburg",41
"338","54341","54341 Fell",101
"339","54341","54341 Fell",102
"340","66709","66709 Weiskirchen",102
"341","66709","66709 Weiskirchen",103
"342","53879","53879 Euskirchen",41
"343","40223","40223 DÃ¼sseldorf",41
"344","53919","53919 Weilerswist",41
"345","66806","66806 Ensdorf",103
"346","40213","40213 DÃ¼sseldorf",41
"347","66793","66793 Saarwellingen",103
"348","54552","54552 Mehren u.a.",102
"349","49849","49849 Wilsum",31
"350","54427","54427 Kell am See",102
"351","54427","54427 Kell am See",103
"352","40479","40479 DÃ¼sseldorf",41
"353","40217","40217 DÃ¼sseldorf",41
"354","47167","47167 Duisburg",41
"355","53533","53533 Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und MÃ¼sch",102
"356","53533","53533 Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und MÃ¼sch",41
"357","47057","47057 Duisburg",41
"358","40476","40476 DÃ¼sseldorf",41
"359","50769","50769 KÃ¶ln",41
"360","40477","40477 DÃ¼sseldorf",41
"361","66359","66359 Bous",103
"362","40225","40225 DÃ¼sseldorf",41
"363","47058","47058 Duisburg",41
"364","66352","66352 GroÃrosseln",103
"365","40215","40215 DÃ¼sseldorf",41
"366","40212","40212 DÃ¼sseldorf",41
"367","46147","46147 Oberhausen",41
"368","50354","50354 HÃ¼rth",41
"369","40211","40211 DÃ¼sseldorf",41
"370","40472","40472 DÃ¼sseldorf",41
"371","40210","40210 DÃ¼sseldorf",41
"372","54346","54346 Mehring",101
"373","54346","54346 Mehring",102
"374","66773","66773 Schwalbach",103
"375","47279","47279 Duisburg",41
"376","66839","66839 Schmelz",103
"377","40227","40227 DÃ¼sseldorf",41
"378","54528","54528 Salmtal",101
"379","40589","40589 DÃ¼sseldorf",41
"380","40470","40470 DÃ¼sseldorf",41
"381","40239","40239 DÃ¼sseldorf",41
"382","41541","41541 Dormagen",41
"383","40233","40233 DÃ¼sseldorf",41
"384","40237","40237 DÃ¼sseldorf",41
"385","53534","53534 Barweiler, Bauler, Hoffeld, Pomster, Wiesemscheid, Wirft",102
"386","53534","53534 Barweiler, Bauler, Hoffeld, Pomster, Wiesemscheid, Wirft",41
"387","66687","66687 Wadern",102
"388","66687","66687 Wadern",103
"389","41539","41539 Dormagen",41
"390","40880","40880 Ratingen",41
"391","53539","53539 Bodenbach, Kelberg, Kirsbach u.a.",102
"392","40885","40885 Ratingen",41
"393","40591","40591 DÃ¼sseldorf",41
"394","50859","50859 KÃ¶ln",41
"395","45478","45478 MÃ¼lheim an der Ruhr",41
"396","40235","40235 DÃ¼sseldorf",41
"397","46049","46049 Oberhausen",41
"398","46149","46149 Oberhausen",41
"399","45479","45479 MÃ¼lheim an der Ruhr",41
"400","45481","45481 MÃ¼lheim an der Ruhr",41
"401","40231","40231 DÃ¼sseldorf",41
"402","40229","40229 DÃ¼sseldorf",41
"403","40629","40629 DÃ¼sseldorf",41
"404","45476","45476 MÃ¼lheim an der Ruhr",41
"405","40878","40878 Ratingen",41
"406","66127","66127 SaarbrÃ¼cken",103
"407","48703","48703 Stadtlohn",41
"408","40882","40882 Ratingen",41
"409","54516","54516 Wittlich",101
"410","50858","50858 KÃ¶ln",41
"411","40625","40625 DÃ¼sseldorf",41
"412","50829","50829 KÃ¶ln",41
"413","46244","46244 Bottrop",41
"414","50321","50321 BrÃ¼hl",41
"415","50765","50765 KÃ¶ln",41
"416","46145","46145 Oberhausen",41
"417","40627","40627 DÃ¼sseldorf",41
"418","54421","54421 Reinsfeld",102
"419","46045","46045 Oberhausen",41
"420","66822","66822 Lebach",103
"421","40599","40599 DÃ¼sseldorf",41
"422","40593","40593 DÃ¼sseldorf",41
"423","50933","50933 KÃ¶ln",41
"424","40597","40597 DÃ¼sseldorf",41
"425","40789","40789 Monheim am Rhein",41
"426","53913","53913 Swisttal",41
"427","66346","66346 PÃ¼ttlingen",103
"428","54413","54413 Gusenburg",102
"429","54524","54524 Klausen",101
"430","50767","50767 KÃ¶ln",41
"431","46117","46117 Oberhausen",41
"432","53332","53332 Bornheim",41
"433","54413","54413 Gusenburg",103
"434","46047","46047 Oberhausen",41
"435","66265","66265 Heusweiler",103
"436","45473","45473 MÃ¼lheim an der Ruhr",41
"437","26571","26571 Juist, Memmert",31
"438","46119","46119 Oberhausen",41
"439","54426","54426 Malborn",102
"440","54558","54558 Gillenfeld",101
"441","54558","54558 Gillenfeld",102
"442","48683","48683 Ahaus",41
"443","49846","49846 Hoogstede",31
"444","40883","40883 Ratingen",41
"445","46242","46242 Bottrop",41
"446","40699","40699 Erkrath",41
"447","54347","54347 Neumagen-Dhron",101
"448","54347","54347 Neumagen-Dhron",102
"449","54498","54498 Piesport",101
"450","54498","54498 Piesport",102
"451","45475","45475 MÃ¼lheim an der Ruhr",41
"452","50827","50827 KÃ¶ln",41
"453","53518","53518 Adenau, Kottenborn u.a.",102
"454","50935","50935 KÃ¶ln",41
"455","45468","45468 MÃ¼lheim an der Ruhr",41
"456","40595","40595 DÃ¼sseldorf",41
"457","66128","66128 SaarbrÃ¼cken",103
"458","45470","45470 MÃ¼lheim an der Ruhr",41
"459","40721","40721 Hilden, DÃ¼sseldorf",41
"460","50937","50937 KÃ¶ln",41
"461","46342","46342 Velen",41
"462","53505","53505 Altenahr, Berg, Kalenborn, Kirchsahr",102
"463","53505","53505 Altenahr, Berg, Kalenborn, Kirchsahr",41
"464","54349","54349 Trittenheim",101
"465","54349","54349 Trittenheim",102
"466","53359","53359 Rheinbach",102
"467","53359","53359 Rheinbach",41
"468","46240","46240 Bottrop",41
"469","46359","46359 Heiden",41
"470","50825","50825 KÃ¶ln",41
"471","66620","66620 Nonnweiler",102
"472","66620","66620 Nonnweiler",103
"473","50739","50739 KÃ¶ln",41
"474","46282","46282 Dorsten",41
"475","45359","45359 Essen",41
"476","51371","51371 Leverkusen",41
"477","53506","53506 AhrbrÃ¼ck, Heckenbach, HÃ¶nningen, Kesseling, Rech",102
"478","53506","53506 AhrbrÃ¼ck, Heckenbach, HÃ¶nningen, Kesseling, Rech",41
"479","54411","54411 Deuselbach, Hermeskeil, Rorodt",102
"480","54411","54411 Deuselbach, Hermeskeil, Rorodt",103
"481","46284","46284 Dorsten",41
"482","66292","66292 Riegelsberg",103
"483","45357","45357 Essen",41
"484","66126","66126 SaarbrÃ¼cken",103
"485","45219","45219 Essen",41
"486","40764","40764 Langenfeld",41
"487","45472","45472 MÃ¼lheim an der Ruhr",41
"488","46236","46236 Bottrop",41
"489","50931","50931 KÃ¶ln",41
"490","50939","50939 KÃ¶ln",41
"491","46286","46286 Dorsten",41
"492","56767","56767 Uersfeld",102
"493","66636","66636 Tholey",103
"494","50737","50737 KÃ¶ln",41
"495","50823","50823 KÃ¶ln",41
"496","50997","50997 KÃ¶ln",41
"497","40724","40724 Hilden",41
"498","66571","66571 Eppelborn",103
"499","49828","49828 Esche, Georgsdorf, Lage, Neuenhaus, Osterwald",31
"500","66115","66115 SaarbrÃ¼cken",103
"501","42579","42579 Heiligenhaus",41
"502","50969","50969 KÃ¶ln",41
"503","45966","45966 Gladbeck",41
"504","50735","50735 KÃ¶ln",41
"505","50674","50674 KÃ¶ln",41
"506","50672","50672 KÃ¶ln",41
"507","48712","48712 Gescher",41
"508","40723","40723 Hilden",41
"509","40822","40822 Mettmann",41
"510","50389","50389 Wesseling",41
"511","45355","45355 Essen",41
"512","54538","54538 Bausendorf",101
"513","50670","50670 KÃ¶ln",41
"514","46238","46238 Bottrop",41
"515","45964","45964 Gladbeck",41
"516","66117","66117 SaarbrÃ¼cken",103
"517","56766","56766 Ulmen",102
"518","45149","45149 Essen",41
"519","45356","45356 Essen",41
"520","50676","50676 KÃ¶ln",41
"521","50667","50667 KÃ¶ln",41
"522","51373","51373 Leverkusen",41
"523","50677","50677 KÃ¶ln",41
"524","50733","50733 KÃ¶ln",41
"525","54552","54552 Mehren u.a.",101
"526","45133","45133 Essen",41
"527","50968","50968 KÃ¶ln",41
"528","66113","66113 SaarbrÃ¼cken",103
"529","54497","54497 Morbach",102
"530","54484","54484 Maring-Noviand",101
"531","54487","54487 Wintrich",101
"532","54487","54487 Wintrich",102
"533","54424","54424 Thalfang",102
"534","56769","56769 Retterath",102
"535","50668","50668 KÃ¶ln",41
"536","48599","48599 Gronau",31
"537","48599","48599 Gronau",41
"538","42697","42697 Solingen",41
"539","45144","45144 Essen",41
"540","50678","50678 KÃ¶ln",41
"541","45145","45145 Essen",41
"542","45143","45143 Essen",41
"543","56826","56826 Lutzerath",101
"544","56826","56826 Lutzerath",102
"545","54492","54492 Zeltingen-Rachtig, Erden, LÃ¶snich u.a.",101
"546","53340","53340 Meckenheim",102
"547","53340","53340 Meckenheim",41
"548","45147","45147 Essen",41
"549","53347","53347 Alfter",41
"550","54472","54472 Monzelfeld, Hochscheid u.a.",101
"551","54472","54472 Monzelfeld, Hochscheid u.a.",102
"552","42781","42781 Haan",41
"553","45239","45239 Essen",41
"554","51061","51061 KÃ¶ln",41
"555","50679","50679 KÃ¶ln",41
"556","50996","50996 KÃ¶ln",41
"557","66119","66119 SaarbrÃ¼cken",103
"558","51105","51105 KÃ¶ln",41
"559","56729","56729 Ettringen",102
"560","51063","51063 KÃ¶ln",41
"561","48734","48734 Reken",41
"562","53859","53859 Niederkassel",41
"563","51379","51379 Leverkusen",41
"564","54422","54422 NeuhÃ¼tten",102
"565","54422","54422 NeuhÃ¼tten",103
"566","42489","42489 WÃ¼lfrath",41
"567","45131","45131 Essen",41
"568","54539","54539 Ãrzig",101
"569","45141","45141 Essen",41
"570","45968","45968 Gladbeck",41
"571","66111","66111 SaarbrÃ¼cken",103
"572","45326","45326 Essen",41
"573","51143","51143 KÃ¶ln",41
"574","45329","45329 Essen",41
"575","45896","45896 Gelsenkirchen",41
"576","51103","51103 KÃ¶ln",41
"577","42799","42799 Leichlingen",41
"578","56825","56825 Gevenich",101
"579","56825","56825 Gevenich",102
"580","50999","50999 KÃ¶ln",41
"581","66625","66625 Nohfelden",102
"582","66625","66625 Nohfelden",103
"583","66287","66287 Quierschied",103
"584","66123","66123 SaarbrÃ¼cken",103
"585","66557","66557 Illingen",103
"586","66125","66125 SaarbrÃ¼cken",103
"587","42699","42699 Solingen",41
"588","66646","66646 Marpingen",103
"589","51065","51065 KÃ¶ln",41
"590","49767","49767 Twist",31
"591","45127","45127 Essen",41
"592","45130","45130 Essen",41
"593","51149","51149 KÃ¶ln",41
"594","45128","45128 Essen",41
"595","53501","53501 Grafschaft",102
"596","53501","53501 Grafschaft",41
"597","54470","54470 Bernkastel-Kues u.a.",101
"598","54470","54470 Bernkastel-Kues u.a.",102
"599","48527","48527 Nordhorn",31
"600","54486","54486 MÃ¼lheim (Mosel)",101
"601","54486","54486 MÃ¼lheim (Mosel)",102
"602","26723","26723 Emden",31
"603","42549","42549 Velbert",41
"604","66121","66121 SaarbrÃ¼cken",103
"605","56864","56864 Bad Bertrich",101
"606","53508","53508 MayschoÃ",102
"607","42719","42719 Solingen",41
"608","51377","51377 Leverkusen",41
"609","51381","51381 Leverkusen",41
"610","51069","51069 KÃ¶ln",41
"611","45899","45899 Gelsenkirchen",41
"612","26736","26736 KrummhÃ¶rn",31
"613","56828","56828 Alflen",101
"614","56828","56828 Alflen",102
"615","45894","45894 Gelsenkirchen",41
"616","51107","51107 KÃ¶ln",41
"617","45897","45897 Gelsenkirchen",41
"618","48619","48619 Heek",41
"619","45134","45134 Essen",41
"620","42327","42327 Wuppertal",41
"621","51067","51067 KÃ¶ln",41
"622","66130","66130 SaarbrÃ¼cken",103
"623","42551","42551 Velbert",41
"624","45139","45139 Essen",41
"625","45327","45327 Essen",41
"626","45136","45136 Essen",41
"627","45138","45138 Essen",41
"628","53123","53123 Bonn",41
"629","45768","45768 Marl",41
"630","66589","66589 Merchweiler",103
"631","53125","53125 Bonn",41
"632","45883","45883 Gelsenkirchen",41
"633","53507","53507 Dernau",102
"634","51375","51375 Leverkusen",41
"635","48455","48455 Bad Bentheim",31
"636","48455","48455 Bad Bentheim",41
"637","42657","42657 Solingen",41
"638","66271","66271 Kleinblittersdorf",103
"639","55767","55767 BrÃ¼cken, Oberbrombach u.a.",102
"640","55767","55767 BrÃ¼cken, Oberbrombach u.a.",103
"641","42655","42655 Solingen",41
"642","66129","66129 SaarbrÃ¼cken",103
"643","66280","66280 Sulzbach/Saar",103
"644","53121","53121 Bonn",41
"645","48529","48529 Nordhorn",31
"646","51109","51109 KÃ¶ln",41
"647","42329","42329 Wuppertal",41
"648","56746","56746 Kempenich",102
"649","53119","53119 Bonn",41
"650","45259","45259 Essen",41
"651","53117","53117 Bonn",41
"652","48739","48739 Legden",41
"653","53343","53343 Wachtberg",102
"654","53343","53343 Wachtberg",41
"655","45257","45257 Essen",41
"656","45309","45309 Essen",41
"657","66133","66133 SaarbrÃ¼cken",103
"658","42553","42553 Velbert",41
"659","56759","56759 Kaisersesch",101
"660","56759","56759 Kaisersesch",102
"661","45881","45881 Gelsenkirchen",41
"662","48720","48720 Rosendahl",41
"663","66132","66132 SaarbrÃ¼cken",103
"664","45721","45721 Haltern am See",41
"665","66649","66649 Oberthal",103
"666","56841","56841 Traben-Trarbach",101
"667","56841","56841 Traben-Trarbach",102
"668","56761","56761 DÃ¼ngenheim",102
"669","51147","51147 KÃ¶ln",41
"670","42653","42653 Solingen",41
"671","56823","56823 BÃ¼chel",101
"672","56823","56823 BÃ¼chel",102
"673","45307","45307 Essen",41
"674","53474","53474 Bad Neuenahr-Ahrweiler",102
"675","66299","66299 Friedrichsthal",103
"676","54536","54536 KrÃ¶v",101
"677","48653","48653 Coesfeld",41
"678","45277","45277 Essen",41
"679","45276","45276 Essen",41
"680","51399","51399 Burscheid",41
"681","45891","45891 Gelsenkirchen",41
"682","51145","51145 KÃ¶ln",41
"683","53127","53127 Bonn",41
"684","51467","51467 Bergisch Gladbach",41
"685","66386","66386 Sankt Ingbert",103
"686","56861","56861 Reil",101
"687","48531","48531 Nordhorn",31
"688","45772","45772 Marl",41
"689","45701","45701 Herten",41
"690","51469","51469 Bergisch Gladbach",41
"691","49733","49733 Haren",31
"692","45884","45884 Gelsenkirchen Rotthausen",41
"693","56814","56814 Ediger-Eller",101
"694","66606","66606 Sankt Wendel",102
"695","66606","66606 Sankt Wendel",103
"696","45770","45770 Marl",41
"697","55758","55758 NiederwÃ¶rresbach",102
"698","42659","42659 Solingen",41
"699","42113","42113 Wuppertal",41
"700","56761","56761 DÃ¼ngenheim",101
"701","53115","53115 Bonn",41
"702","42651","42651 Solingen",41
"703","45892","45892 Gelsenkirchen",41
"704","53225","53225 Bonn",41
"705","66131","66131 SaarbrÃ¼cken",103
"706","53844","53844 Troisdorf",41
"707","66578","66578 Schiffweiler",103
"708","45879","45879 Gelsenkirchen",41
"709","56859","56859 Bullay, Alf, Zell",101
"710","45279","45279 Essen",41
"711","56858","56858 Peterswald-LÃ¶ffelscheid u.a.",101
